Depth,BW,PW,MH,Ratio,Stability,Label
45.72,6.1,6.1,3.05,2,Intact,I1
178.49,6,19,2.3,8.26,Intact,I0
195.15,6,20,2.1,9.52,Intact,I0
203.42,6,19,1.7,11.18,Intact,I0
203.42,6,19,1.7,11.18,Intact,I0
42.67,5.49,5.49,2.59,2.12,Intact,I1
91.44,6.1,6.1,1.68,3.63,Intact,I1
48.77,6.4,7.32,2.44,3,Intact,I0
83.92,6,11.47,3,3.82,Intact,I0
87.6,6,12,2.8,4.29,Intact,I0
45.72,6.1,6.1,3.96,1.54,Intact,I1
60.96,6.1,7.62,3.96,1.92,Intact,I1
45.72,6.1,6.1,1.68,3.63,Intact,I0
60.96,6.1,7.62,1.68,4.54,Intact,I0
76.2,6.1,9.14,3.96,2.31,Intact,I1
91.44,6.1,12.19,3.96,3.08,Intact,I1
76.2,6.1,9.14,1.68,5.44,Intact,I0
33.53,5.49,6.71,3.96,1.69,Intact,I0
115.82,6.1,9.14,1.83,4.99,Intact,I1
169,6.19,21.81,2.58,8.45,Intact,I0
70,6,12,2.6,4.62,Intact,I0
104,6,11,3,3.67,Intact,I1
110.5,5,12,2.8,4.29,Intact,I0
110.5,5,12,3,4,Intact,I0
70,5,20.57,2.6,7.91,Intact,I0
70,5,15.44,2.6,5.94,Intact,I0
93,6,10,2.9,3.45,Intact,I1
84,5.89,11,2.77,3.97,Intact,I0
84,5.89,11.5,2.77,4.15,Intact,I0
47.24,7.62,6.1,5.18,1.18,Intact,I1
64.01,6.25,6.1,3.44,1.77,Intact,I1
91.44,6.1,10.67,4.27,2.5,Intact,I1
38.1,5.49,4.27,1.52,2.81,Intact,I0
106.68,6.1,12.19,4.27,2.85,Intact,I1
88.39,6.1,9.14,3.05,3,Intact,I1
84.65,6,6,1.75,3.43,Intact,I1
85.34,6.1,7.62,3.05,2.5,Intact,I1
108.51,6.4,8.84,2.29,3.86,Intact,I1
79.4,6,24,3,8,Intact,I0
138.89,6,17.78,3,5.93,Intact,I0
138.89,6,31.06,3,10.35,Intact,I0
79.4,6,19.47,3,6.49,Intact,I0
60.96,6.71,7.01,3.35,2.09,Intact,I1
30.48,6.1,6.1,3.2,1.91,Intact,I0
44.2,6.1,6.1,4.27,1.43,Intact,I1
42.8,6,7,2.2,3.18,Intact,I0
67.8,6,11,4,2.75,Intact,I0
67.8,6,11.73,4,2.93,Intact,I0
36.3,6,8,3.7,2.16,Intact,I0
51.8,6.02,10.98,2.88,3.81,Intact,I0
124.9,5.73,18.27,2.67,6.84,Intact,I0
110,6.18,17.82,3.46,5.15,Intact,I0
146.2,6.29,19.89,2.91,6.84,Intact,I0
68.9,6,12.9,3,4.3,Intact,I0
34.5,6.5,5.5,5.5,1,Intact,I1
33.8,6,8,2.4,3.33,Intact,I0
52.8,6,8,3,2.67,Intact,I0
38.37,6.4,8.1,5.9,1.37,Intact,I1
52.8,6,11.3,3,3.77,Intact,I0
45.72,6.1,6.1,4.57,1.33,Intact,I1
219.46,5.58,21.73,3.17,6.85,Intact,I0
76.2,6.1,7.62,4.57,1.67,Intact,I1
106.68,5.49,6.71,1.19,5.64,Intact,I0
182.88,5.94,16.92,2.44,6.93,Intact,I0
91.44,6.1,12.19,1.52,8.02,Intact,I0
35.05,5.49,9.75,2.44,4,Intact,I0
50.6,6.1,6.1,1.37,4.45,Intact,I0
76.2,6.1,9.14,1.37,6.67,Intact,I0
35.05,4.88,7.32,2.59,2.83,Intact,I0
42,10,5,1.8,2.78,Intact,I1
36,7,5,2.4,2.08,Intact,I1
38,7,5,1.8,2.78,Intact,I1
22,6,6,1.5,4,Intact,I0
36.58,6.1,6.1,3.66,1.67,Intact,I1
51.82,6.1,7.62,3.66,2.08,Intact,I1
137.16,5.49,12.8,3.66,3.5,Intact,I1
91.44,6.1,9.14,4.57,2,Intact,I1
45.72,6.1,7.62,4.88,1.56,Intact,I1
19.81,6.1,7.62,3.2,2.38,Intact,I0
29.77,5,14,3,4.67,Intact,I0
58.53,6,11.42,3.5,3.26,Intact,I0
58.53,6,14,3.5,4,Intact,I0
42.59,6,15,3.7,4.05,Intact,I0
13.22,6,8,2.6,3.08,Intact,I0
65.78,5,10,2.2,4.55,Intact,I0
54.65,5,10,2.2,4.55,Intact,I0
54.99,5,9.47,3,3.16,Intact,I0
45.72,6.4,6.55,3.51,1.87,Intact,I1
82,6,12,3,4,Intact,I0
70.1,6,12,3.35,3.58,Intact,I0
21.34,6.71,6.1,2.74,2.23,Intact,I0
30.48,6.4,6.4,3.66,1.75,Intact,I1
41.15,6.4,6.4,1.98,3.23,Intact,I0
78.54,6,14,2.7,5.19,Intact,I0
78.54,6,14,2.4,5.83,Intact,I0
