Depth,BW,PW,MH,Ratio,Stability,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,Pillar Stress,SF_1,SF_2,SF_3,SF_4,SF_5,SF_6,SF_7
39.95,6.08,6.89,3.7,1.862162162,Intact,5090.850188,6334.028379,7060.586012,7352.755662,4758.680612,6114.184761,6943.362884,3539.144548,1.438440877,1.789706042,1.99499792,2.077551669,1.344584983,1.727588314,1.961876038
55.2,6.96,8.98,3.95,2.273417722,Intact,5444.067518,6847.865437,7674.900903,7954.913504,4789.368366,6598.52849,7572.192759,4348.135277,1.252046491,1.574897054,1.765101685,1.829500003,1.101476394,1.517553634,1.741480491
30.35,6.06,8.96,3.85,2.327272727,Intact,5579.2485,6987.91554,7815.214237,8082.394287,4855.66046,6738.142751,7700.748743,2132.173543,2.616695306,3.277367156,3.665374361,3.790683134,2.277328914,3.160222475,3.611689475
41.35,5.98,8,3.6,2.222222222,Intact,5637.998069,6982.765225,7766.056538,8019.442421,4947.780818,6745.393237,7626.665561,3156.820523,1.785973585,2.211961425,2.460088079,2.540354246,1.567330414,2.136768051,2.415932583
57.34,5.99,9.07,3.84,2.361979167,Intact,5628.009854,7045.927395,7878.393258,8141.851444,4872.113787,6794.558162,7761.992986,3952.146792,1.424038668,1.782810145,1.993446518,2.060108562,1.232776525,1.719206932,1.963994101
63.15,6.11,8.02,1.65,4.860606061,Intact,12316.45346,13390.76809,13959.07549,13435.7909,7602.110179,13210.93094,13184.08161,4900.596558,2.513255949,2.732477144,2.848444129,2.741664354,1.551262196,2.695780152,2.690301365
40.86,7.63,7.55,2.92,2.585616438,Intact,6752.631563,8075.919673,8827.114647,8965.723595,5500.388609,7845.608876,8578.412766,4129.410054,1.635253335,1.955707854,2.137621242,2.171187525,1.332003491,1.89993456,2.077394266
30.55,7.11,8.07,3.2,2.521875,Intact,6370.436911,7736.228085,8520.335845,8702.524815,5286.274458,7497.046699,8318.274389,2702.387958,2.357336182,2.862737774,3.152891435,3.220309205,1.956149354,2.774230353,3.078119988
49.82,7.67,7.63,3.05,2.501639344,Intact,6498.9749,7829.29997,8588.54943,8753.985512,5379.246481,7597.082405,8364.766859,5008.152186,1.297679196,1.563311113,1.714913827,1.747947184,1.074098047,1.5169432,1.670230166
47.07,6.89,8.29,3.37,2.459940653,Intact,6130.978518,7510.07005,8306.86724,8514.943675,5160.0595,7267.716544,8130.884542,3945.651186,1.553857203,1.903379112,2.105322252,2.15805789,1.307784002,1.841956169,2.060720565
