Depth,PW,BW,MH,Stability
115.82,9.14,6.1,1.83,Intact
169,21.81,6.19,2.58,Intact
70,12,6,2.6,Intact
104,11,6,3,Intact
110.5,12,5,2.8,Intact
110.5,12,5,3,Intact
70,20.57,5,2.6,Intact
70,15.44,5,2.6,Intact
93,10,6,2.9,Intact
84,11,5.89,2.77,Intact
84,11.5,5.89,2.77,Intact
47.24,6.1,7.62,5.18,Intact
64.01,6.1,6.25,3.44,Intact
91.44,10.67,6.1,4.27,Intact
38.1,4.27,5.49,1.52,Intact
106.68,12.19,6.1,4.27,Intact
88.39,9.14,6.1,3.05,Intact
84.65,6,6,1.75,Intact
85.34,7.62,6.1,3.05,Intact
108.51,8.84,6.4,2.29,Intact
79.4,24,6,3,Intact
138.89,17.78,6,3,Intact
138.89,31.06,6,3,Intact
79.4,19.47,6,3,Intact
60.96,7.01,6.71,3.35,Intact
30.48,6.1,6.1,3.2,Intact
44.2,6.1,6.1,4.27,Intact
42.8,7,6,2.2,Intact
67.8,11,6,4,Intact
67.8,11.73,6,4,Intact
36.3,8,6,3.7,Intact
51.8,10.98,6.02,2.88,Intact
124.9,18.27,5.73,2.67,Intact
110,17.82,6.18,3.46,Intact
146.2,19.89,6.29,2.91,Intact
68.9,12.9,6,3,Intact
34.5,5.5,6.5,5.5,Intact
33.8,8,6,2.4,Intact
52.8,8,6,3,Intact
38.37,8.1,6.4,5.9,Intact
52.8,11.3,6,3,Intact
45.72,6.1,6.1,4.57,Intact
219.46,21.73,5.58,3.17,Intact
76.2,7.62,6.1,4.57,Intact
106.68,6.71,5.49,1.19,Intact
182.88,16.92,5.94,2.44,Intact
91.44,12.19,6.1,1.52,Intact
35.05,9.75,5.49,2.44,Intact
50.6,6.1,6.1,1.37,Intact
76.2,9.14,6.1,1.37,Intact
35.05,7.32,4.88,2.59,Intact
42,5,10,1.8,Intact
36,5,7,2.4,Intact
38,5,7,1.8,Intact
22,6,6,1.5,Intact
36.58,6.1,6.1,3.66,Intact
51.82,7.62,6.1,3.66,Intact
137.16,12.8,5.49,3.66,Intact
91.44,9.14,6.1,4.57,Intact
45.72,7.62,6.1,4.88,Intact
19.81,7.62,6.1,3.2,Intact
29.77,14,5,3,Intact
58.53,11.42,6,3.5,Intact
58.53,14,6,3.5,Intact
42.59,15,6,3.7,Intact
13.22,8,6,2.6,Intact
65.78,10,5,2.2,Intact
54.65,10,5,2.2,Intact
54.99,9.47,5,3,Intact
45.72,6.55,6.4,3.51,Intact
82,12,6,3,Intact
70.1,12,6,3.35,Intact
21.34,6.1,6.71,2.74,Intact
30.48,6.4,6.4,3.66,Intact
41.15,6.4,6.4,1.98,Intact
78.54,14,6,2.7,Intact
78.54,14,6,2.4,Intact
