Depth,PW,BW,MH,Ratio,Stability,cluster,Label
33.53,6.71,5.49,3.96,1.694444444,Intact,0,I0
115.82,9.14,6.1,1.83,4.994535519,Intact,0,I0
169,21.81,6.19,2.58,8.453488372,Intact,0,I0
70,12,6,2.6,4.615384615,Intact,0,I0
104,11,6,3,3.666666667,Intact,0,I0
110.5,12,5,2.8,4.285714286,Intact,0,I0
110.5,12,5,3,4,Intact,0,I0
70,20.57,5,2.6,7.911538462,Intact,0,I0
70,15.44,5,2.6,5.938461538,Intact,0,I0
93,10,6,2.9,3.448275862,Intact,0,I0
84,11,5.89,2.77,3.971119134,Intact,0,I0
84,11.5,5.89,2.77,4.151624549,Intact,0,I0
47.24,6.1,7.62,5.18,1.177606178,Intact,1,I1
64.01,6.1,6.25,3.44,1.773255814,Intact,1,I1
91.44,10.67,6.1,4.27,2.49882904,Intact,1,I1
38.1,4.27,5.49,1.52,2.809210526,Intact,0,I0
106.68,12.19,6.1,4.27,2.854800937,Intact,1,I1
88.39,9.14,6.1,3.05,2.996721311,Intact,0,I0
84.65,6,6,1.75,3.428571429,Intact,0,I0
85.34,7.62,6.1,3.05,2.498360656,Intact,0,I0
108.51,8.84,6.4,2.29,3.860262009,Intact,0,I0
79.4,24,6,3,8,Intact,0,I0
138.89,17.78,6,3,5.926666667,Intact,0,I0
138.89,31.06,6,3,10.35333333,Intact,0,I0
79.4,19.47,6,3,6.49,Intact,0,I0
60.96,7.01,6.71,3.35,2.092537313,Intact,1,I1
30.48,6.1,6.1,3.2,1.90625,Intact,1,I1
44.2,6.1,6.1,4.27,1.428571429,Intact,1,I1
42.8,7,6,2.2,3.181818182,Intact,0,I0
67.8,11,6,4,2.75,Intact,1,I1
67.8,11.73,6,4,2.9325,Intact,1,I1
36.3,8,6,3.7,2.162162162,Intact,1,I1
51.8,10.98,6.02,2.88,3.8125,Intact,0,I0
124.9,18.27,5.73,2.67,6.842696629,Intact,0,I0
110,17.82,6.18,3.46,5.150289017,Intact,0,I0
146.2,19.89,6.29,2.91,6.835051546,Intact,0,I0
68.9,12.9,6,3,4.3,Intact,0,I0
34.5,5.5,6.5,5.5,1,Intact,1,I1
33.8,8,6,2.4,3.333333333,Intact,0,I0
52.8,8,6,3,2.666666667,Intact,0,I0
